lat,long,vx,vy
38.7380895,-9.13864076,-3.88776519,0.869314677
38.73809,-9.13864303,-3.86661447,0.979283771
38.7380899,-9.13864524,-3.87211791,0.269570098
38.73809,-9.13864748,-3.94571337,0.26136686
38.7380852,-9.13864876,-3.71316365,-0.0403497912
38.7380852,-9.13865089,-3.80760677,0.0546462594
38.7380845,-9.13865304,-3.68883518,-1.40914651
38.7380851,-9.13865531,-3.82920874,-0.141424732
38.7380927,-9.1386589,-3.96718375,0.496367281
38.7380929,-9.13866098,-3.77186123,0.764811364
38.7380935,-9.13866324,-3.77237853,0.82360735
38.738093,-9.13866531,-3.69083086,-0.455932508
38.7380919,-9.13866726,-3.70099261,-0.297385115
38.738092,-9.13866939,-3.70515154,0.00209312202
38.7380917,-9.13867146,-3.65801334,-0.548702774
38.7380923,-9.13867389,-4.03239712,0.564423878
38.7381003,-9.13867746,-3.8984874,0.39119593
38.7381003,-9.13867951,-3.72092779,0.298317848
38.7381004,-9.13868171,-3.7282328,0.139461037
38.7381004,-9.13868389,-3.78599804,0.021138581
38.7380912,-9.13868443,-3.66358206,-0.204166908
38.7380914,-9.13868652,-3.58635526,0.105674662
38.7380911,-9.13868874,-3.78516823,-0.329688852
38.7380912,-9.13869089,-3.74880281,-0.0736052071
38.7380878,-9.13869246,-3.80277479,0.309979426
38.7380878,-9.13869456,-3.64092397,0.0166092228
38.7380879,-9.13869676,-3.79428277,0.266388274
38.7380878,-9.13869895,-3.81068607,-0.0923044736
38.7380895,-9.13870133,-3.70178841,0.19334171
38.7380893,-9.13870334,-3.43881802,-0.645101335
38.73809,-9.13870538,-3.59951456,-0.442610215
38.7380905,-9.13870763,-3.75344829,0.220708307
38.738089,-9.13870939,-3.66254511,0.229641541
38.7380891,-9.13871155,-3.79240269,0.203044055
